,day,y
1174,1174,Information Technology
1175,1175,Information Technology
1176,1176,Information Technology
1177,1177,Information Technology
1178,1178,Materials
1179,1179,Materials
1180,1180,Materials
1181,1181,Information Technology
1182,1182,Information Technology
1183,1183,Information Technology
1184,1184,Information Technology
1185,1185,Information Technology
1186,1186,Information Technology
1187,1187,Information Technology
1188,1188,Energy
1189,1189,Information Technology
1190,1190,Real Estate
1191,1191,Real Estate
1192,1192,Real Estate
1193,1193,Real Estate
1194,1194,Real Estate
1195,1195,Consumer Staples
1196,1196,Consumer Staples
1197,1197,Consumer Staples
1198,1198,Consumer Discretionary
1199,1199,Consumer Discretionary
1200,1200,Consumer Discretionary
1201,1201,Consumer Discretionary
1202,1202,Consumer Discretionary
1203,1203,Consumer Discretionary
1204,1204,Industrials
1205,1205,Consumer Discretionary
1206,1206,Industrials
1207,1207,Industrials
1208,1208,Financials
1209,1209,Industrials
1210,1210,Industrials
1211,1211,Industrials
1212,1212,Telecommunications Services
1213,1213,Telecommunications Services
1214,1214,Telecommunications Services
1215,1215,Telecommunications Services
1216,1216,Information Technology
1217,1217,Information Technology
1218,1218,Information Technology
1219,1219,Energy
1220,1220,Energy
1221,1221,Energy
1222,1222,Energy
1223,1223,Energy
1224,1224,Energy
1225,1225,Energy
1226,1226,Energy
1227,1227,Energy
1228,1228,Energy
1229,1229,Materials
1230,1230,Health Care
1231,1231,Health Care
1232,1232,Consumer Discretionary
1233,1233,Consumer Discretionary
1234,1234,Consumer Discretionary
1235,1235,Health Care
1236,1236,Consumer Discretionary
1237,1237,Health Care
1238,1238,Health Care
1239,1239,Health Care
1240,1240,Consumer Discretionary
1241,1241,Health Care
1242,1242,Health Care
1243,1243,Health Care
1244,1244,Health Care
1245,1245,Information Technology
1246,1246,Telecommunications Services
1247,1247,Telecommunications Services
