,T,CTL,FTR,VZ
398,35.107,41.3922,99.874,49.8594
399,34.993,40.6879,101.2159,49.5077
400,34.6973,40.0883,101.4775,48.961
401,34.546,39.6808,96.2046,48.585
402,34.7117,40.1817,96.2607,48.8364
403,34.5392,39.7958,96.6045,48.54
404,34.6315,39.6125,95.5247,48.4854
405,34.8952,39.691,96.6363,48.9153
406,35.0154,40.2835,97.9057,49.2516
407,35.1533,40.5116,98.38,49.6097
408,35.3956,40.7572,98.7208,50.1701
409,35.4635,40.8235,98.9539,50.0933
410,35.3454,40.6679,99.2289,49.9543
411,35.3725,40.4401,98.1285,50.0239
412,35.1461,40.0617,97.2557,49.7481
413,35.1628,40.1808,94.7146,49.6289
414,35.1402,40.3428,96.3089,49.6076
415,35.2767,40.8079,97.7436,50.0097
416,35.0305,40.5681,96.3619,49.6019
417,34.983,40.5999,94.859,49.3736
418,35.2667,40.9278,95.9992,49.6763
419,35.5161,40.8681,95.4515,50.1047
420,35.4487,40.3305,93.2572,49.7975
421,34.9044,40.4451,92.3983,49.4513
422,34.7749,40.002,89.5676,49.1306
423,34.4916,39.464,89.213,49.2454
424,34.0222,38.6949,87.4249,48.8027
425,33.8621,38.8177,86.8606,48.3792
426,33.6384,38.3149,87.7161,47.5968
427,33.6011,38.2629,90.7577,47.6118
428,33.9937,38.8349,91.2634,47.9373
429,34.1421,39.063,91.4737,48.2192
430,34.4712,39.6984,92.8451,48.551
431,34.5782,40.1218,94.3878,48.4838
432,33.6038,40.0395,93.8424,48.1273
433,33.7178,39.9,93.8021,48.7475
434,34.0875,40.2814,94.4041,49.29
435,34.2677,40.7841,95.6211,49.8782
436,34.4459,41.0695,96.6213,49.9035
437,34.3638,41.3528,96.4466,49.9422
438,34.7534,41.4555,97.5872,50.1931
439,34.7916,41.7444,97.0747,50.3118
440,34.7961,41.6761,94.7727,50.4712
441,34.85,41.6119,97.7091,50.225
442,34.649,39.3155,95.6152,50.0422
443,34.8825,38.9875,95.6721,50.7085
444,35.031,39.6556,96.9923,50.7583
445,35.0203,39.9612,97.5431,50.5274
446,35.3304,40.3178,100.41,50.8374
447,35.6799,40.9118,101.3215,51.089
448,35.8937,40.7531,101.7535,51.4506
449,35.8163,40.775,102.0224,51.3667
450,35.7313,41.0291,103.0762,51.2324
451,35.3549,41.0201,104.6896,50.4898
452,35.2599,40.4881,104.7081,50.1939
453,35.2092,40.5414,106.1405,50.0723
454,34.6221,40.2833,104.6061,49.3336
455,34.6158,39.6478,104.9707,49.2361
456,35.0577,40.5381,105.6765,49.9258
457,35.4118,40.8184,106.2367,50.5902
458,35.0554,41.1656,104.6971,50.2283
459,34.4505,40.833,105.0085,49.4581
460,34.0771,40.0457,104.3683,48.7303
461,33.9006,39.9562,103.3357,48.6598
462,33.8756,39.6959,103.4413,48.5673
463,33.9397,39.8561,99.6088,49.015
464,32.8279,39.0642,98.3116,46.7979
465,32.5914,38.5761,96.9066,46.1309
466,32.8167,38.8326,98.08,46.4536
467,32.3428,37.8867,94.9122,45.6714
468,32.2737,37.7809,93.8958,45.474
469,32.3892,38.1454,96.229,45.9419
470,32.5154,38.4133,97.0155,46.0278
471,33.2958,39.2349,100.3302,46.8894
472,33.525,39.7154,101.4745,46.9599
473,33.7997,40.0111,101.9747,47.3511
474,34.047,40.3764,102.0713,47.6932
475,34.0136,40.1731,101.5954,47.6861
476,34.1441,40.4959,102.5027,47.8663
477,34.1557,40.5625,101.836,47.5949
478,34.0968,40.094,100.3642,47.3223
479,33.7826,39.8306,100.9308,46.9739
480,33.8408,39.6663,99.661,47.0318
481,33.715,38.8814,97.6252,46.812
482,33.5837,38.3521,96.5744,46.9308
483,33.0842,38.3966,97.1818,46.3134
484,33.4236,38.8754,98.4148,46.9519
485,33.5089,38.4794,97.8751,46.8352
486,33.5669,38.6359,100.3104,47.008
487,33.6102,38.818,101.4259,47.4086
488,33.1966,38.2822,100.0513,46.8224
489,33.3304,38.4491,101.3017,47.1447
490,33.6463,38.3334,101.626,47.6914
491,33.8174,38.6859,102.557,48.019
492,34.0366,38.8249,102.2304,48.1121
493,33.5624,39.1581,101.8948,47.4018
494,33.4977,39.3016,103.1396,47.2523
495,33.1622,38.9846,102.9694,46.8426
496,32.9356,38.9129,101.9612,46.5676
497,33.0895,38.7404,101.7865,46.5164
498,32.7586,37.6255,100.1091,45.8245
499,33.0859,37.126,100.4239,46.011
500,33.2971,37.8599,104.9177,46.5222
501,34.1475,39.2594,110.1894,47.7549
