,MO,ADM,BF.B,CPB,CHD,KO,CL,CAG,STZ,COST,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA
103,35.4219,34.7995,33.6855,44.4361,30.7563,40.4087,57.6183,35.4899,50.539,111.5732,58.3979,46.2474,67.8584,48.9466,19.4531,102.5737,65.1284,96.9751,17.9402,69.3787,47.4351,28.7166,20.1637,80.7455,87.2569,78.2922,33.8223,83.3603,89.5477,26.2398,74.9414,44.0515
104,35.9843,35.2265,34.3262,45.0561,30.9678,40.5536,58.4654,35.7355,50.8262,112.4913,59.2306,46.4,68.0881,49.2801,19.772,104.2848,65.5912,98.0753,18.0398,70.1496,48.162,28.8281,20.2305,81.5911,88.5967,78.7795,34.5547,84.1871,90.6372,26.6202,76.5247,45.0393
105,36.2354,35.785,34.7985,45.305,31.2657,40.8647,58.9919,35.6109,51.1581,113.3554,60.0653,46.5647,66.6275,49.5432,19.8647,104.6587,66.0224,98.5781,18.5538,70.3975,49.7391,28.9827,20.062,82.579,89.3183,79.5901,35.068,85.0293,90.8499,26.4525,77.0441,46.1283
106,36.5559,35.7952,35.1766,45.244,31.195,40.68,58.6928,35.7868,51.241,113.6823,59.9994,46.7802,67.1226,49.82,19.8774,104.504,65.8907,98.4566,18.7307,70.346,50.2218,29.0711,19.8553,83.0191,88.9933,79.7161,34.901,84.5808,90.6034,26.6375,76.7555,47.4445
107,36.9407,36.1471,35.8537,46.2177,31.5569,40.952,58.8891,36.4486,52.1524,115.197,60.719,47.5644,68.0484,50.7837,20.2355,105.4873,66.5276,99.3378,18.9184,71.7688,51.5119,29.9199,20.1483,84.2733,90.5674,80.6995,35.3647,85.3339,91.6424,27.0265,77.5684,48.8246
108,36.8624,36.225,35.9878,45.8495,31.9611,40.9622,59.0636,36.5103,52.2729,116.1076,60.9292,47.4114,68.4118,50.9628,20.4333,105.8268,66.4581,99.6305,18.7852,71.6163,51.3448,30.2486,19.963,84.1257,89.5746,81.378,35.5064,85.7374,91.5269,27.1136,77.542,48.5414
109,36.9901,36.2329,36.0867,46.1814,31.9183,41.0516,58.8098,36.8408,52.1987,115.7806,60.8737,47.4812,67.5867,51.3223,20.5977,106.6531,66.5381,99.7799,18.8845,72.0605,51.6551,30.2405,20.2773,84.7121,89.7676,81.3343,35.6665,86.2433,92.0207,27.4219,77.0784,49.0959
110,37.2411,35.7461,36.2671,46.0817,31.7788,40.0821,58.4388,36.7472,52.3231,116.46,60.8196,47.3107,66.7441,51.1358,20.7951,106.7502,66.3575,100.0018,18.9574,71.9577,50.9899,29.8825,20.2249,83.8337,90.1111,81.0385,35.6885,86.762,92.1406,27.3064,77.1773,49.152
111,37.1518,35.7544,36.6582,46.0582,31.7848,40.7736,58.3323,36.8533,51.9809,117.2562,60.909,47.6401,66.5662,51.1913,20.646,106.6479,66.2048,99.8665,19.2131,71.9365,50.9692,30.4531,20.9818,84.7816,90.1324,80.2971,35.5093,86.2866,91.8302,27.1046,77.3637,49.6845
112,37.0777,35.7866,36.6895,46.3394,31.797,40.8632,58.7297,36.9014,51.8002,117.1067,61.1895,47.8486,66.7434,51.3352,20.5475,107.2672,66.6146,99.1905,19.3392,72.092,51.0322,30.7146,21.0031,86.3596,89.2424,80.4501,35.7664,86.7843,92.1465,27.0022,77.3307,50.6825
