,APD,ALB,AVY,BLL,CF,EMN,ECL,FMC,FCX,IP,IFF,LYB,MLM,MON,NEM,NUE,PPG,PX,SEE,SHW,MOS,VMC
1138,146.5449,110.7218,93.6346,40.7071,30.3846,84.3173,131.2584,83.3097,14.1307,53.5997,136.8003,87.824,205.7501,117.0758,36.0686,55.6517,102.491,130.5312,44.8984,336.0881,20.4079,114.8681
1139,146.37,111.3464,93.5966,40.3487,30.1014,84.7307,131.2755,84.2439,14.0109,53.6145,137.1704,88.1195,205.8964,117.0789,35.7406,55.6188,102.7874,131.1043,45.0304,333.7638,20.0639,116.5696
1140,147.6937,113.0619,94.3292,40.7562,30.2865,85.3389,132.2424,84.8202,14.6762,54.4534,138.1653,87.6944,205.2402,117.4343,35.9687,56.5479,103.5982,133.3187,45.3691,333.2645,20.5185,116.1721
1141,146.5794,112.9149,93.5431,40.4441,29.3816,83.6213,130.9083,83.2961,14.3691,54.1859,136.2738,86.8266,202.0831,117.2743,36.0347,54.837,103.2686,132.4155,45.1906,331.4378,20.4522,114.9203
1142,145.665,112.6686,93.0224,40.1209,28.9871,82.8344,130.2494,82.6796,14.1774,54.236,134.8011,86.9329,199.7653,116.8245,36.2587,54.2321,102.3934,131.9835,44.9075,329.4083,19.8432,113.7826
1143,145.2501,113.1067,92.8038,39.7118,29.1453,84.5573,130.4323,83.3162,14.7283,53.5071,134.9414,88.0499,198.9871,116.7522,36.5516,53.8982,102.3279,131.344,44.9138,329.3312,19.8311,112.4107
1144,146.0373,115.336,92.9771,39.7763,29.3574,84.1934,131.3582,84.3968,15.2048,53.5286,135.6148,88.9513,200.4346,117.0904,36.6357,54.4385,104.0372,132.7205,45.3885,337.0826,20.0535,114.6316
1145,145.2758,115.6331,93.1696,39.414,28.7072,84.5303,130.8909,84.4488,15.247,53.2787,135.0432,89.4336,202.5545,116.7506,36.8418,54.9333,103.8979,132.5908,45.2852,335.3809,20.1538,114.4547
1146,145.2828,115.3891,92.9361,39.1602,28.9145,84.8322,130.3439,84.1088,15.4591,53.6711,135.3263,89.5237,201.4163,116.6613,36.8626,54.7872,103.9902,132.3447,45.0307,335.7841,20.2256,114.4942
1147,145.8766,115.0318,93.6482,39.2305,29.027,84.9988,131.1506,84.5322,15.392,54.5812,136.0789,90.627,195.5013,116.8164,37.1204,54.6147,103.8119,132.5547,44.9038,338.7223,20.4301,112.8777
1148,145.7728,115.2288,93.4394,39.1636,28.9765,85.2795,131.1162,84.4302,15.5416,53.8196,136.0615,90.1978,196.5598,116.6491,38.2519,54.4665,104.0066,132.0461,44.2892,339.7114,20.0478,114.6592
